,F,V_inn,V_ut,phase,dB
143,63000.000000000044,5.1,4.8,-7.89,-0.5265787744469831
144,64000.00000000005,5.1,4.9,-7.56,-0.3474819213884528
145,65000.00000000005,5.1,4.9,-7.19,-0.3474819213884528
146,66000.00000000004,5.1,4.8,-7.27,-0.5265787744469831
147,67000.00000000004,5.1,4.9,-7.21,-0.3474819213884528
148,68000.00000000006,5.1,4.8,-7.43,-0.5265787744469831
149,69000.00000000006,5.1,4.9,-7.48,-0.3474819213884528
150,70000.00000000006,5.1,4.9,-7.04,-0.3474819213884528
151,71000.00000000004,5.1,4.9,-6.78,-0.3474819213884528
152,72000.00000000006,5.1,4.8,-5.56,-0.5265787744469831
153,73000.00000000006,5.1,4.9,-6.53,-0.3474819213884528
154,74000.00000000006,5.1,4.9,-6.34,-0.3474819213884528
155,75000.00000000006,5.1,4.9,-6.57,-0.3474819213884528
156,76000.00000000006,5.1,4.9,-6.41,-0.3474819213884528
157,77000.00000000006,5.1,4.9,-6.71,-0.3474819213884528
158,78000.00000000006,5.1,4.9,-6.44,-0.3474819213884528
159,79000.00000000006,5.1,4.9,-5.75,-0.3474819213884528
160,80000.00000000007,5.1,4.9,-5.8,-0.3474819213884528
161,81000.00000000007,5.1,4.9,-6.33,-0.3474819213884528
162,82000.00000000006,5.1,4.9,-6.11,-0.3474819213884528
163,83000.00000000006,5.1,4.9,-5.15,-0.3474819213884528
164,84000.00000000006,5.1,4.9,-4.92,-0.3474819213884528
165,85000.00000000007,5.1,4.9,-6.27,-0.3474819213884528
166,86000.00000000007,5.1,4.9,-5.49,-0.3474819213884528
167,87000.00000000006,5.1,4.9,-4.89,-0.3474819213884528
168,88000.00000000007,5.1,4.9,-4.73,-0.3474819213884528
169,89000.00000000007,5.1,4.9,-4.73,-0.3474819213884528
170,90000.00000000007,5.1,4.9,-3.37,-0.3474819213884528
171,91000.00000000007,5.1,4.9,-5.87,-0.3474819213884528
172,92000.00000000006,5.1,4.9,-4.54,-0.3474819213884528
173,93000.00000000007,5.1,4.9,-4.14,-0.3474819213884528
174,94000.00000000007,5.1,4.9,-3.93,-0.3474819213884528
175,95000.00000000007,5.1,4.9,-3.97,-0.3474819213884528
176,96000.00000000009,5.1,4.9,-3.56,-0.3474819213884528
177,97000.00000000009,5.1,4.9,-2.94,-0.3474819213884528
178,98000.00000000007,5.1,4.9,-3.99,-0.3474819213884528
179,99000.00000000007,5.1,4.9,-5.31,-0.3474819213884528
180,100000.0,5.1,4.9,-3.82,-0.3474819213884528
