,F,V_inn,V_ut,phase,dB
169,89000.00000000007,5.1,1.81,65.32,-8.997832024575036
170,90000.00000000007,5.1,1.81,65.61,-8.997832024575036
171,91000.00000000007,5.1,1.77,66.36,-9.191938194722594
172,92000.00000000006,5.1,1.75,68.04,-9.290642548232839
173,93000.00000000007,5.1,1.73,66.92,-9.39048145938282
174,94000.00000000007,5.1,1.73,69.5,-9.39048145938282
175,95000.00000000007,5.1,1.67,66.74,-9.697074099007061
176,96000.00000000009,5.1,1.67,67.45,-9.697074099007061
177,97000.00000000009,5.1,1.65,69.29,-9.801724637680602
178,98000.00000000007,5.1,1.63,67.39,-9.907651433879572
179,99000.00000000007,5.1,1.61,67.68,-10.014886001321733
180,100000.0,5.1,1.59,68.35,-10.123461035549697
